complaint,category
13151 - started on 6th from KOAA has barely moved after leaving Lucknow around 2pm. Whats going on? ,others
why Mahananda(15483) has been canceled on 04/04/19???? Still i did no ,health
"Visit the state of the art tourist attraction, Sydney Opera House with all-inclusive  tour packages offer ",others
Awsme cleaning wrk and grt stff Proud of u INDIAN RAILWAY ... ,clean
New post on the blog: Photo essay: Nilgiri mountain railway: toy train from Coonor to Ooty  ,journey
allows the user to book tickets to his favorite  destination within minutes and offer the user to pay ,journey
News is coming from sleeper class as well. Some small children got hurted.    ,health
Train no 13202 has been attacked by stone pelter near Gadarwara Stn. Emergency window of B2 has been shattered. Tra ,others
"Traveling frm bpl to ujjain today, by mistake bookd tickt fr 7.5.19. rqsted TT to tell any alternative as i was wit ",others
"constantly reminding us what IST stands for. A superfast train is also made to stop at stations and  This is a special vending machine for purified water, a dire necessity for that passengers. Good... ",journey
20 passengers taken ill after eating rail food   ,food
"Excellent passengers\xe2\x80\x99 executive lounge at  railway station, the lounge has a good waiting hall, wash rooms for a showe dear rail india... We dont need bullet trains now.. please improve old indian railway sy ",others
Awsme cleaning wrk and grt stff Proud of u INDIAN RAILWAY ... ,clean
Indian Railways records the best safety figures with record low accidents   ,others
"Excellent passengers\xe2\x80\x99 executive lounge at  railway station, the lounge has a good waiting hall, wash rooms for a showe  of n: Railways (Long route) :  and grievance redressal through Twitter BIG T ",others
bSunday Joy Ride: Explore Mumbais Harbour Line:   ,others
Big Thanks!! for improving servies and infrastructure of Railways. doing gud Jo,others
Gentle giant !! Mesmerising magical  sounds of engine!! Always fascinating!!  pride of India !! ,others
20506 Dibrugarh Rajdhani standing at platform no-16 Ndls for last 50 mins. Nobody is r ,others
Train number 12781 S3 coach No water in train ... Pls do something... We have been facing water problem Train number 12781 S3 coach No water in train ... Pls do something... We have been facing wat ,journey
The  government has renamed the iconic  Railway Station as Puratchi Thalaivar Dr ,others
SCR set deadline to achieve 100% electrification by 2021-22    ,others
is the second largest rail network in the world.  Millions of women travel across the country by tr ,health
Corruption in  is on Heights.  collects money in lieu of tickets very often. Govt officials please look into this ,journey
"Indian Railways merges TC, CC and ECRC posts, to conduct only one exam    ",others
"New Line, Doubling, Tripling and Gauge Conversion: Targets for FY 2019-20   ",others
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
my sister and her 2 childrens are in train 17307 TT tok general ticket and  money from them for reserve  Ticket in,journey
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
"New Line, Doubling, Tripling and Gauge Conversion: Targets for FY 2019-20   ",others
You know you are getting old when the  Indian loo becomes an acrobatic act worthy of an Olympic gold. \xf0\x9f\x98\x82,others
Woman develops labour pain in local train; delivers baby at one-rupee clinic at  Railway Station   Out of curiosity do have the same agenda for as  una     Can you share the progress of the work regarding th ,others
The  government has renamed the iconic  Railway Station as Puratchi Thalaivar ,others
"Major scam in   ticketing, customers had to buy  from private operators site at higher price. Ticket for IA, t Hi Sir,  We have seen lot of developments in last 5 years especially in   we will s ",journey
"2/2. Complaint portal of   fundamentally defective. For complaints of ticketing site, station and pl ",journey
"Major scam in   ticketing, customers had to buy  from private operators site at higher price. Ticket for IA, t",journey
"Major scam in   ticketing, customers had to buy  from private operators site at higher price. Ticket ",journey
Now spending the night with some wonderful bugs in Nilagiri Express -12672\xc2\xa0- A2  and good for health. ,health
Sir I have booked my bike through railway on 3rd of April And now in the destination ,others
Wud suggest not to sell anything without visible rate list in trains. Got duped in Kerala Exp yesterday. PNR 262119 ,others
sucks   only 3hrs late train no.12409 who is responsible for the lose,journey
urgent  required palitana- bandra express . Coach s2 seat number 75,others
Plz clean toilets at my coach. Pathetic smell. Rude answers given by tc & house keeping. They say ,clean
"Excellent passengers\xe2\x80\x99 executive lounge at  railway station, the lounge has a good waiting hall, wash rooms ",others
No more inconvenience while booking tickets for your travel. Pay through  e-wallet and  within minutes,journey
"UPDATED. More trains from added to list. Summer Specials: Over 200 New Services in April, May and June from CR",journey
SCR set deadline to achieve 100% electrification by 2021-22    ,others
Sir   Goa express 12779 is stands near  since last 4 hours. Please do needful  ,journey
under the visionary and dynamic leader is creating wonders on daily basis.  Thankyou s ,others
This is what last mile delivery in  truly looks like!  \xf0\x9f\x98\x81   ,others
Time when i clicked this pic &gt;&gt; 08:00 pm ... This is the condition of  .. They shut the ,others
& We are at gauribidanur railway station for 11302 udyan exp but without any crossin ,others
The IRCTC offers the facility of booking   on concessional fares for disabled persons. How to book co ,others
Trains between Bhopal(bpl) And Delhi(ndls) stations  ,journey
Celebrating 3rd Anniversary of Indias fastest train ( Gatiman Express ) This is the only video which I captured of th,others
Whats the last time you had that rush of a feeling?       ,others
Generator Van of GariRath is apparently making the environment GARI very badly!   ,digital
Two sides of a moment....        ,others
bWhats the last time you had that rush of a feeling?       ,others
This is what last mile delivery in  truly looks like!  \xf0\x9f\x98\x81   ,others
That why people doesn\xe2\x80\x99t want to travel with indian railways ... no point to pay so high price for First AC where ,others
"UPDATED. More trains from added to list. Summer Specials: Over 200 New Services in April, May and June from CR Train no 12266..coach H 1-C...Disappointed to see that in Fitst AC coach,even water bottles not serv ",journey
bwhat is wrong with this train any idea ?      its waiting time. \xf0\x9f\x92\xa5\xf0\x9f\x94\xa5\xf0\x9f\x91\xb9\xf0\x9f\x91\xbf\xf0\x9f\x98\x88 ,others
Ample of patients commute from K.R.Puram Bangalore in 12864 but everyday coach positions are changed and stoppage t ,journey
am traveling on pragati express from Mumbai to Pune in C1. The aircon was lowered 30kms before reac ,journey
"Hello NR management, As a responsible citizen of India, just want to let you know that still after paying such a hi ",health
RRBResult is out after manipulation of several times leads selection to rejection.. Is it not a corru    Dirty and stinking toilets in train no 16335 coach B2 PNR no- 831707 ,clean
Allahabad: Vande Bharat Express to install additional CCTVs    ,others
"UPDATED. More trains from added to list. Summer Specials: Over 200 New Services in April, May and June ",journey
Shouldnt Bhutans constitution to keep tourist attractions and environment clean be a part of every countrys constitut,clean
Where the hell is the light and fan ? Burning our bodies in hell time of the summer   ,others
"The Indian Railways has registered its best safety figures in almost four decades in 2018-2019 till March, data has ",health
so much dust on upper berths of Indore to khajuraho rail no. 19663. Dirty toilets as well. Cleanliness must,clean
train 04404 its not like a AC special Train. 4 hr delay and all Train passes but this ,journey
Trains between Raipur(r) And Satna(sta) stations  ,journey
Western Railway ensures Highest Infrastructure Works of 240 Kms During 2018-19  ,others
Article published in Deccan Herald lies about Indian Railways performance   ,others
so much dust on upper berths of Indore to khajuraho rail no. 19663. Dirty toilets as well. Cleanli ,clean
Sets Goal Of Capturing 50 Per Cent Of Freight Traffic By 2030  via,others
"traveling in train no 19663 indore to khajuraho.... Coach no S1... seats are very dirty, toilet sme ",clean
"Train no 12561,always runs late. Till date no action has been taken by  .It is rediculous and shamef ",journey
Been travelling in trains from last 20 y,others
"Daily Update on Rail & Metro Progress - Apr 06, 2019 | By Rail Analysis India   ",others
Western Railway ensures Highest Infrastructure Works of 240 Kms During 2018-19  ,others
SCR set deadline to achieve 100% electrification by 2021-22    ,others
Chennai Central is now MGR Central       ,others
"Exclusive Insight : The Impact of MCF, Raebareli on the City Read Here...   xe2\x80\xa6",others
Why can\xe2\x80\x99t we pay for platform ticket with parking? It will save so much of time and increase revenue for ,journey
Been travelling in trains from last 20 y,others
Impressive!  adds 500 more stations to free WiFi list in just 7 days |   ,digital
achieving new milestones in the last five years under Modi Govt ,others
Number of railways mishappenings reduced by 94.8% since FY 18-19: Report...    ,digital
"Exclusive Insight : The Impact of MCF, Raebareli on the City Read Here...   xe2\x80\xa6",others
"Exclusive Insight : The Impact of MCF, Raebareli on the City Read Here...  ",others
Dankuni unit of CLW produced 50 locomotives in 2018-19     ,others
SCR set deadline to achieve 100% electrification by 2021-22    ,others
"New India: [Train:12505] - 6:25 total travelling time and 5 hours train late, what a service.   ",journey
Western Railway ensures Highest Infrastructure Works of 240 Kms During 2018-19  ,others
"RRALP, Technician CBT II Exam Result Declared! Check Important Instructions for Next Stage Group C Aptitude Test  ",others
"RRALP, Technician CBT II Exam Result Declared! Check Important Instructions for Next Stage Group C Aptitude Test ",others
"In 2019, after implementation of 6th CPC, most of central govt employees in GP 4200 and above were given  Gazatted Please look into the picture      ",others
likely to release hall tickets at least 10 days before CBT 1; click to read de ,journey
"If you prefer healthy meals and want to enjoy it onboard, then you can easily do so by ordering Classic Caesar Sala ",health
"Record setting , be it manufacturing coaches, export, electrification, modernisation, safety, the ef ",others
Trains between Chennai(mas) And Jhansi(jhs) stations  ,journey
or Utkrisht Double Decker Air Conditioned Yatri Express are completely Double-Decker AC chair car trains d,others
bCelebrating 3rd Anniversary of Indias fastest train ( Gatiman Express ) This is the only video which I captured of ,others
I am traveeling on train no.  16351 nagercoil express...  A person has littered and soiled my seat with his shoes.. ,others
achieves 5 remarkable firsts in FY19! World-class trains and stations to high-powered locos.@ You have a pathetic wesite. My registration is stuck because you are not sending the mobile OTP ev ,others
Wastage of water \xf0\x9f\x98\x91     ,journey
Impressive!  adds 500 more stations to free  list in just 7 days  \ ,others
Cameras installed on  to identify people pelting stones   ,security
Boost for regional transport! Check out these upcoming rapid rail projects  \ ,others
Chennai Central is now MGR Central       ,others
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
No more inconvenience while booking tickets for your travel. Pay through  e-wallet and  within mi ,journey
registers its best safety figures in almost four decades   ,others
Pathetic coach and washroom condition in  - 12978. No water in washrooms since last night. Train r ,journey
Free  at 500 rail stations in 7 days!  creates record; now 1500 stations have internet ,digital
"RRALP,  CBT Results declared, whats next?        ",others
register its best safety figures in almost four decades . ,others
Some beautiful pictures can\t be discovered without getting lost ! \\\\,others
Some beautiful pictures can\t be discovered without getting lost ! \\\ ,others
"RRALP CBT 2 Result 2019 announced, check your roll number here     ",others
Trains between Raipur(r) And Rajkot(rjt) stations  ,journey
What if you lost your train journey ticket? Here are the things you should do if such incident happened. Click here ,journey
officer please support. Why 12561 train is late. Please look into it. Advise the concerned official ,journey
Fantastic! The Indian Railways just recorded its safest year ever!  ,others
register its best safety figures in almost four decades . ,others
There have been a huge discrepancy in recent ALP CBT 2 MARKS i,others
For the love of  ,others
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has show     Been travelling in trains from la ",health
The toilets are really unclean in  ALD DURANTO EXP 12293 PNR- 8116589279 (B3). Can someone do anything about this? ,clean
"Booking  ticket at IRCTC? Now, get  up to Rs 10 lakh for just 49 paise ",journey
water shortage in train jpr to indore exp 12974.,journey
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has ",health
"Now, enjoy world-class facilities at Indian Railways lounges.   Kudos to Sir & team. ",food
"Bag with gold ornaments and cash has been stolen an hour back today from my friend Arnab, travelling towards Malda ",journey
Ok now m receiving curses from these passengers as i troubled them. Was it necessary for me to reserve a seat and g ,journey
"what a great service provide by Indian railways , there is not water in  B5  ,Konark express , 11019. ",journey
bPeople pay for what they want to have no matter if they cant have it again.   ,others
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has sh",health
train stand  even in  for  that didnt  du ,others
"Medu Vada is a fritter in the doughnut shape made from batter of finest quality black gram, fried and served with speci",others
So Chennai Central is now officially  DR MG RAMACHANDRAN CENTRAL  railway station. Another big big station on the ,others
the worst situation of railway continues traian no 15024 yaswantpur -Gorakhpur express boarded yesterday thi,others
\xe2\x80\x99 Surat station to become -class multi-modal transport hub; check 5 facts on the project ,others
\xe2\x80\x99 Surat station to become -class multi-modal transport hub; check 5 facts on the project ,others
Booked a Ticket for 16594 and seat was allotted in coach No SE1 But there is no Identification marks where the extr ,journey
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
From Discover on Google     Keep up the good work ,others
Beautiful Erode WDG 3a merrily chugging through the diesel heaven line towards POY with 22652 PGT-MAS Superfast Pic:Alb    No proper bed roll  provided.  Got a pillow that is ,health
"bIts not ac or sleeper Its genral bogie,(m.p.samparkranti) Thanx  ",others
s role in safety of people is limited to our understanding of our own safety.  You cant expect a ,others
Link in bio.             I suggest CCTV must be available in all waiting hall to protect our luggage ,others
There is no food in train 17311. AC attendant in 2 tier is asking for \xe2\x82\xb9150 per person to get veg thali. It says \xe2\x82\xb950 ,food
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has sh",health
"bPiyushGoyal have you read this? Now,  please dont play with  or call this paper . Nor should yo ",others
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has sh",health
"The  has registered its best safety figures in almost four decades in 2018-2019 till March, data has ",health
bJust Used RailWire WiFi Services from Indian Railways at Subzi Mandi Railway Station and i feel its quite amazing ,digital
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
Shouldnt Bhutans constitution to keep tourist attractions and environment clean be a part of every countrys constitut,clean
"CR: Several Doubling, Tripling Works to be Partly Commissioned in April, May, June  ",others
delay of ispat express 12871 at bargarh station. Train no. 12871. It has been1/2 an hour gone train halt at bargarh ,journey
report was scrapped as usual.  Issue of promotional avenue for  SSEs,others
Magnificently built and Incredibly cleaned  Railway station.. experience..special thanks to our Hon. ,clean
Trains between Ahmedabad(adi) And Bhopal(bpl) stations  ,journey
"bExperience top international destinations that include Singapore, Phuket, Dubai and more with  Tourisms all- ",others
"A historically significant event, the onset of railway operations in  ushered in a new chapter of progres ",others
Impressive!  adds 500 more stations to free WiFi list in just 7 days |   ,digital
"Choose from multiple payment options like credit/debit cards, net banking, e-wallet, for every ticket booked throug ",journey
Impressive!  adds 500 more stations to free WiFi list in just 7 days |   ,digital
A bunch of  replies show how the  have been run down during the Modi years despite the hype and the hoopla water bottle cost \xe2\x82\xb9 15 is being sold for 20?(GST + 5) for what +5 is being charged by catering servic ,journey
But what about the railways ...? \xe2\x80\x8bThe myth of Britains gifts to India  The paragraph that I,others
Safest year! This new record by  in  will cheer every passenger  via,health
revamped. Kudos  Passenger convenience and amenities are much needed at Railway ,others
"Please ensure proper water for passengers, more than 3 decades this Station and area is negle",journey
A bunch of  replies show how the  have been run down during the Modi years despite the hype and ,others
Chairman Railway Board launches various digital initiatives on Indian Railways  ,digital
"Fantastic news!  Number of consequential accidents, 59 in 2018-19. This exemplies transformative leadershi ",health
Incredible Facts About Indian Railways That You Probably Never Knew    ,others
"Medu Vada is a fritter in the doughnut shape made from batter of finest quality black gram, fried and served with s    is still in British era in India 5.0 : Indi and Beyon ",health
and   teamed up for  services. ,food
"An Exclusive Interview with Mr. Lalit Chandra Trivedi ,General Manager at East Central Railway Subscribe to Our Ma ",others
to deploy  Kaizala to connect its employees with healthcare services  ,health
"Thanks to and sir..for problem that we are facing ,has been resolved \xf0\x9f\x98\x8a\xf0\x9f\x98\x81 within an hour.   report was scrapped as usual.  Issue of promotional avenue for ",others
"Train No. 14681, Coach D2, Littering smell is all over the coach and that too when it starts from NDLS  ",journey
The poor functioning of the  under Modi. ,others
"restricted for security forces\xe2\x80\x99 movement! Check  alternative, imp ",others
"Train No. 14681, Coach D2, Littering smell is all over the coach and that too when it starts from NDLS  ",journey
shows how   performance declined under  !  Never mind...part-time  ,others
"Good news for  employees, pensioners and passengers: New services launched; know how you benefit  news for  employees, pensioners and passengers: New services launched; know how you benefit ",others
Grateful for looking into this and taking prompt action Kudos I have hope yet with  ,others
"Chhatisgarh also accounts for 1/6th of  annual revenue but has just over 1,500 kms of rail lines, le ",others
A smile suits every kind of clothes      ,others
Grateful for looking into this and taking prompt action Kudos I have hope yet with  ,others
guys...justify the cost u charge..   ,others
will be announcing the result for ALP CBT-2 tomorrow.    ,health
12 railway stations in NFR zone to get airport like facilities     xe2\x80\xa6,others
Safest year! This new record by  in FY19 will cheer every passenger   \,health
Safest year! This new record by  in FY19 will cheer every passenger   \,health
Safest year! This new record by  in FY19 will cheer every passenger   ,health
From 1am iam calling to  for enquiry of my train live status  15024  they stupids service  are not r ,journey
12 railway stations in NFR zone to get airport like facilities    ,others
"Microsoft to help  employees connect with  services using its  solution, which ",security
Check out the detailed information about Best Luxury Trains of India That Are the Pride of Indian Railways...know m ,others
"bIm sure the very able, and vocal ministers will come out to explain this. Slam the media and Nehru for the ills of ",health
Shouldnt Bhutans constitution to keep tourist attractions and environment clean be a part of every countrys constitut,clean
bShouldnt Bhutans constitution to keep tourist attractions and environment clean be a part of every countrys cons ,clean
"Please ensure proper water for passengers, more than 3 decades this Station and area i ",journey
"At a time when  needs to seriously bolster its  systems, this  exposes the poor functioni ",others
Train No.16532 GariNawaz. Does this run from Ksr Bangalore today??? Or the service has been diverted???,journey
Trains between Itarsi(et) And Mumbai(cstm) stations  ,journey
"India largest employer, , enables chat-based medical services. Indian Railway employees will be ab  Sir..I have made several times complaint and get resolved also..  Thanks to ",health
"Frequency is not yet improved, people working in IT needs proper frequency of train as OMR is stuck with traffic at ",others
Friyay \xf0\x9f\x98\x81\xf0\x9f\x98\x8d What do you plan to do this weekend? .              ,others
please dont upgrade Deccan Queen to Utkrisht rakes ... Its will spoil its heritage a ,health
bIndians are generally known to be good in  but that doesnt mean  decides to use a math proble ,others
bOn another side note.. Train is late by 2 hours. Dont think it would pick up speed either. Should have been close ,journey
Microsoft Kaizala enables Indian Railways to connect its three million employees with healthcare services. ,health
achieves 5 remarkable firsts in FY19! World-class trains and stations to high-powered locos. ,others
This  waiting lounge at  railway station is the epitome of luxury! Unmissable pics  182 RPF helpline number  no one is responding.   ,security
Doon express 13009 running already late by 6 hrs and train is standing in outskirt of Lucknow from 1 hr even when t ,journey
There is different time shown by Indian railways in LED WATHCH    ,others
But what about the railways ...? \xe2\x80\x8bThe myth of Britains gifts to India  The paragraph that I,others
bBut what about the railways ...? \xe2\x80\x8bThe myth of Britains gifts to India  The paragraph that ,others
Lucknow Swarn Shatabdi- Food Served  via .    ,food
"here is a fantasy work dedicated to art students of Khairagarh university , Chhatishgarh, painted during the ongoing Inte",others
"New Line, Doubling, Tripling and Gauge Conversion: Targets for FY 2019-20    hello sir, can you help me to reach my dad. we are worried and unable to contact him.  ",security
"Never in the history, Indian railways has got this much of push from the Govt.  great things happening in the",journey
"Never in the history, Indian railways has got this much of push from the Govt.  great things happeni ",journey
This  waiting lounge at  railway station is the epitome of luxury! Unmissable pics ,others
This  waiting lounge at  railway station is the epitome of luxury! Unmissable pics ,others
"While the  &  have defaulted on property tax payment to the , state roadways tra ",others
This  waiting lounge at  railway station is the epitome of luxury! Unmissable pics  every traveller has leftovers. What a waste of food in this country? Have some shame..  ,food
PNR 8504500514 confirmed one seat for Son but Mother seat not confirmed now I cant c ,others
Indian Railways plans to develop \xe2\x80\x98eco-smart stations\xe2\x80\x99      ,others
PNR 8504500514 confirmed one seat for Son but Mother seat not confirmed now I cant cancel nor I ca ,others
sir my family traveling with my family in train no.18030 with pnr no:  coach no:       Chat based medical services is a un ,others
The  said it will use  Kaizala to connect its employees across the country with quality ,health
Condition of DOOR in JpUdz SF Express Train No. 12992    ,others
13 Amazing Facts About  That You May Not Know  via \One of the biggest & most intense ,others
achieves 5 remarkable firsts in FY19! World-class trains and stations to high-powered locos - The F ,others
"The Indian Railway Board provided Segways, a two-wheeled, self-balancing, battery-powered electric vehicle to the R ",others
Kudos to PM led govt for transforming the face of our  & \,others
"New Line, Doubling, Tripling and Gauge Conversion: Targets for FY 2019-20",others
no coach cleaning available in Train no. 18609 i.e. Toilet water running in the compartm ,journey
Diesel lobby reigns supreme and thus 100s of diesel fume spouting End On Generators enter and exit NCR everyday. ,others
Trains between Cuttack(ctc) And Gondia(g) stations  ,journey
Highbar Technocrat Ltd. participated in 8th Annual Metro Rail India Summit 2019.   ,others
"bBig  gift: Use  stations luxury lounge, renovated retiring rooms; know charges, facilities       ",others
"A rail push trolley\xc2\xa0\xc2\xa0is a hand-pushed trolley, it was  used to inspect the rails\xc2\xa0.    ",security
"Okay. If there no staff present, these seats will run vacant and 16 deserving nationals who\xe2\x80\x99ve paid for the ticke ",health
bGenerator Van of GariRath is apparently making the environment GARI very badly!   ,digital
Train no. 12224 Duronto Express coach B6. Air condition is not working. Approached the engineers but are not respon ,digital
Vlog On Journey From Delhi To Mumbai By  Train Is oUt Guys..  .  ,journey
ko sudhar to payi nhi    me fir se  chahiye. ,others
"Did you know,  takes 25 crore passengers daily to their desired destinations?  ",others
Travelling by train no. 12701 to Hyderabad. There is no water in the coach no. S2. Hopefully it will be resolved so ,journey
"Targets for 2019-20 set at 10,319 km on   ",others
"The haunting beauty of a solitary rail line in a desolate Ghat section, moving into a tunnel! Picture credit - ",others
I am in 14055 Brahmputra Express. PNR No. 6527303522. I would like to request you to clean the washroom. It is in v ,clean
PNR 8717284054 pehle bole hotte toh pillow sath le atee..  yeh use karne se ,health
